date,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
2024-07-31,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-30,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-29,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-24,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-23,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-22,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-19,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-18,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-17,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-16,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-15,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-12,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-11,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-10,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-08,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-04,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-03,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-02,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-07-01,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-28,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-27,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-26,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-25,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-24,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-21,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-20,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-19,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-18,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-17,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-14,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-13,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-12,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-11,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-10,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-07,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-06,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-05,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-04,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-06-03,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-31,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-30,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-29,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-28,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-27,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-24,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-23,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-22,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
